name,station,date
James Blunt - Stay The Night,radiowien,2021-04-19 06:12:01.813965
James Brown - Sex Machine (Part 1),radiowien,2021-04-19 02:09:01.712624
Jamie XX - I Know There's Gonna Be (Good Times),fm4,2021-04-18 09:27:05.048459
Jan Delay feat. Marteria - Eule,oe3,2021-04-19 00:42:00.998087
Jan Hammer Group - Don't You Know | FM4 Sunny Side Up,fm4,2021-04-18 08:31:39.936710
Janelle Monae - Tightrope | FM4 Morning Show,fm4,2021-04-19 04:57:03.204690
Janet Jackson - That's The Way Love Goes,radiowien,2021-04-18 15:51:02.744535
Jason Derulo - Colors,radiowien,2021-04-19 04:30:01.913525
Jason Derulo - Take You Dancing,oe3,2021-04-19 01:27:01.766205
Jason Derulo feat. Nuka - Love Not War (The Tampa Beat),oe3,2021-04-19 04:39:01.766758
Jason Mraz - I'm Yours,radiowien,2021-04-18 08:31:39.536610
Jennifer Lopez  Pitbull - On the Floor,oe3,2021-04-19 07:12:01.064451
Jennifer Rush - Destiny,radiowien,2021-04-18 23:12:02.308529
Joe Cocker - Unchain My Heart,radiowien,2021-04-19 05:09:02.209057
Joel Corry feat. Mnek - Head & Heart,oe3,2021-04-19 03:06:01.770384
John Lennon - Just Like Starting Over,radiowien,2021-04-18 16:24:01.737078
Johnny Hates Jazz - Turn Back The Clock,radiowien,2021-04-18 11:36:02.250084
Jonas Blue feat. JP Cooper - Perfect Strangers,oe3,2021-04-19 02:12:01.697588
Josh. - Ring in der Hand,oe3,2021-04-18 20:21:01.802995
Journey - Open Arms,radiowien,2021-04-18 20:18:02.351953
Jovanotti - Ragazzo Fortunato,radiowien,2021-04-18 11:06:01.793483
Julian Le Play - Philosoph,oe3,2021-04-18 23:51:01.597492
Julian Le Play - Team,radiowien,2021-04-19 05:27:01.909631
Julian Le Play feat. toksÃ¯ - Hellwach,oe3,2021-04-18 20:06:01.600535
Julian le Play - Mr. Spielberg,radiowien,2021-04-18 17:42:01.838801
Jungle - Keep Moving | FM4 Hallo FM4,fm4,2021-04-18 13:06:02.440721
K.D. Lang - Constant Craving,radiowien,2021-04-19 07:21:02.089913
Kamasi Washington - Street Fighter Mas | FM4 Fivas Ponyhof,fm4,2021-04-18 15:57:02.953416
Kapa Tult - Priority Lane | FM4 Zimmerservice,fm4,2021-04-18 17:15:02.141475
Katrina & The Waves - Love Shine A Light,radiowien,2021-04-18 20:42:02.343862
Katrina & The Waves - Walking On Sunshine,radiowien,2021-04-18 09:42:01.948302
Katy Perry - Teenage Dream,oe3,2021-04-19 01:45:01.248150
Ke'rem - Our Own Cartoon,radiowien,2021-04-18 15:15:02.447610
Kerosin95 - Futter | FM4 Hallo FM4,fm4,2021-04-18 14:15:02.637248
Kid Simius ft. Enda Gallery - Livin'It Up | FM4 Morning Show,fm4,2021-04-19 07:06:02.905958
Kim Carnes - Bette Davis Eyes,oe3,2021-04-18 17:36:01.037322
Kim Wilde - Four Letter Word,radiowien,2021-04-18 15:39:01.849534
King & Potter - Blinded by Love,oe3,2021-04-18 21:18:00.991004
Kinks - Don't Forget To Dance,radiowien,2021-04-18 10:15:02.344090
KrautschÃ¤dl - Feiah fonga,oe3,2021-04-18 22:27:00.856649
Kreiml & Samurai ft. 5Finga - 4Re In Da Friah (Illeagle Remix),fm4,2021-04-19 00:21:02.305893
Kygo  & Tina Turner - What's Love Got to Do with It,oe3,2021-04-18 15:48:01.590206
