name,station,date
katy perry - dark horse,kronehit,2021-04-18 11:00:03.461236
katy perry - roar,kronehit,2021-04-18 12:06:01.750765
kygo & donna summer - hot stuff,kronehit,2021-04-18 17:33:01.444257
kygo & tina turner - what's love got to do with it,kronehit,2021-04-19 05:27:01.517626
kØleen - world keeps turning,kronehit,2021-04-18 19:30:04.650742
leona lewis - bleeding love,kronehit,2021-04-18 15:00:02.262284
leony - faded love,kronehit,2021-04-18 17:24:02.154470
lewis capaldi - someone you loved,kronehit,2021-04-18 12:24:02.037946
liam payne & rita ora - for you,kronehit,2021-04-18 20:42:01.955689
lilly wood & the prick - prayer in c (robin schulz remix),kronehit,2021-04-18 17:18:01.850160
lukas graham - love someone,kronehit,2021-04-18 14:33:02.443418
major lazer & dj snake - lean on (feat. mã˜),kronehit,2021-04-18 17:00:02.664677
mark forster - 194 lă„nder,kronehit,2021-04-18 19:57:01.558761
maroon 5 - girls like you (feat. cardi b.),kronehit,2021-04-19 03:54:03.505428
maroon 5 - moves like jagger (feat. christina aguilera),kronehit,2021-04-18 08:31:39.048745
"martin jensen, alle farben & nico santos - running back to you",kronehit,2021-04-19 03:39:01.802212
mary j. blige - family affair,kronehit,2021-04-18 09:57:01.849556
master kg - jerusalema (feat. nomcebo zikode),kronehit,2021-04-18 11:12:01.847766
mathea - chaos,kronehit,2021-04-19 05:51:01.816716
mattafix - big city life,kronehit,2021-04-19 06:36:01.905199
meduza & dermot kennedy - paradise,kronehit,2021-04-19 05:54:02.212683
michael patrick kelly - beautiful madness,kronehit,2021-04-18 17:15:01.647572
miley cyrus - we can't stop,kronehit,2021-04-18 19:39:01.556157
mÖwe - skyline,kronehit,2021-04-18 10:18:01.638490
nathan evans - wellerman (220 kid & billen ted remix),kronehit,2021-04-18 18:24:03.138045
naughty boy - la la la (feat. sam smith),kronehit,2021-04-19 05:36:02.321456
nea - some say,kronehit,2021-04-18 21:48:02.306631
nelly furtado - all good things,kronehit,2021-04-19 03:15:01.402374
nelly furtado - promiscuous,kronehit,2021-04-19 05:00:05.178632
nico santos - play with fire,kronehit,2021-04-19 07:09:02.210983
ofenbach & quarterhead - head shoulders knees & toes (feat. norma jean martine),kronehit,2021-04-18 18:54:02.149296
olivia rodrigo - drivers license (explicit),kronehit,2021-04-18 21:51:01.102538
omi - cheerleader (felix jaehn remix),kronehit,2021-04-18 19:00:01.637798
owl city - fireflies,kronehit,2021-04-18 14:18:04.215500
pauT - jackpoT (gernoT blümels LapTop) | FM4 Soundpark,fm4,2021-04-18 23:06:02.102507
pedro capÓ & farruko - calma (remix),kronehit,2021-04-18 12:33:01.637228
pharrell williams - happy,kronehit,2021-04-18 17:09:01.243805
pink & willow sage hart - cover me in sunshine,kronehit,2021-04-18 22:39:02.107300
pink - just like fire,kronehit,2021-04-19 05:57:02.007132
pitbull - back in time,kronehit,2021-04-18 16:39:01.737766
post malone - rockstar (feat. 21 savage),kronehit,2021-04-18 19:18:02.346429
pras michel - ghetto supastar (that is what you are) (feat. odb & mya),kronehit,2021-04-18 17:39:01.936854
purple disco machine & sophie and the giants - hypnotized,kronehit,2021-04-19 03:18:01.595650
rag'n'bone man - all you ever wanted,kronehit,2021-04-18 19:27:01.658739
rea garvey & vize - the one,kronehit,2021-04-18 20:33:01.360679
regard - ride it,kronehit,2021-04-18 15:24:01.543617
rihanna - disturbia,kronehit,2021-04-18 13:54:01.854159
rihanna - only girl (in the world),kronehit,2021-04-18 17:57:01.849067
riton & nightcrawlers - friday (feat. mufasa & hypeman) (dopamine re-edit),kronehit,2021-04-18 21:06:01.737604
robin schulz & wes - alane,kronehit,2021-04-19 03:12:01.208080
robin schulz - all we got (feat. kiddo),kronehit,2021-04-19 05:12:01.905584
robin thicke - blurred lines (feat. t.i. & pharrell williams),kronehit,2021-04-18 13:27:01.359091
saint jhn - roses (imanbek remix),kronehit,2021-04-19 04:30:01.515991
sam smith - diamonds,kronehit,2021-04-19 03:30:01.003235
shawn mendes - there's nothing holding me back,kronehit,2021-04-19 03:42:02.707008
stereoact - die immer lacht (feat. kerstin ott),kronehit,2021-04-18 15:42:01.438176
surf mesa - ily (i love you baby) (feat. emilee flood),kronehit,2021-04-19 06:30:01.318040
tate mcrae - you broke me first,kronehit,2021-04-19 06:06:05.053761
the black eyed peas - ritmo (bad boys for life),kronehit,2021-04-18 16:06:01.343824
the chainsmokers - closer (feat. halsey),kronehit,2021-04-18 09:33:02.738292
the kid laroi - without you,kronehit,2021-04-18 21:42:01.802824
the pussycat dolls - buttons (feat. snoop dogg),kronehit,2021-04-18 22:00:01.870313
the pussycat dolls - don't cha (feat. busta rhymes),kronehit,2021-04-18 12:18:01.436847
the weeknd - blinding lights,kronehit,2021-04-19 04:51:02.016431
the weeknd - save your tears,kronehit,2021-04-18 20:03:01.938175
tiesto - the business,kronehit,2021-04-18 20:12:01.156338
tones and i - dance monkey,kronehit,2021-04-18 19:24:01.447137
topic - breaking me (feat. a7s),kronehit,2021-04-18 20:00:01.736997
twocolors - lovefool,kronehit,2021-04-18 08:57:01.355557
vamero & lizot - bleeding love (radio edit),kronehit,2021-04-18 18:06:01.937645
vize & tom gregory - never let me down,kronehit,2021-04-19 03:57:01.597029
"vize, joker bra & leony - paradise",kronehit,2021-04-18 18:21:01.947765
wanda - bologna,kronehit,2021-04-18 08:25:16.043089
wham! - wake me up before you go go,kronehit,2021-04-18 11:39:03.147632
xxxtentacion & lil pump - arms around you (feat. maluma & swae lee),kronehit,2021-04-18 10:42:01.953129
zara larsson - lush life,kronehit,2021-04-18 15:18:02.060532
zoe wees - girls like us,kronehit,2021-04-19 07:12:01.501560
Änn - Forever | FM4 Hallo FM4,fm4,2021-04-18 13:24:03.437597
!Deladap - Don't Turn Around,oe3,2021-04-21 21:30:01.385973
"""Downhill"": Will Ferrell auf Skiurlaub in Ischgl",fm4,2021-04-21 08:48:01.813294
'Die fitten Jahre sind vorbei' von Austrofred,fm4,2021-04-21 13:48:02.230297
100% Pure Poison - Windy C | FM4 Sunny Side Up,fm4,2021-04-18 08:36:02.340898
10cc - Dreadlock Holiday,radiowien,2021-04-22 07:45:01.953239
10cc - The Things We Do For Love,radiowien,2021-04-18 20:45:01.848298
24kGoldn feat. Iann Dior - Mood,oe3,2021-04-23 09:45:01.609981
24kgoldn - mood (feat. iann dior),kronehit,2021-04-23 12:06:02.456687
3 Doors Down - Here Without You,oe3,2021-04-19 02:57:01.546368
4 Non Blondes - What's Up?,oe3,2021-04-21 17:48:01.410122
4 The Cause - Stand By Me,radiowien,2021-04-21 22:33:02.255194
5 Seconds of Summer - Youngblood,oe3,2021-04-22 23:36:02.521952
58erl In Ehr'n - Vaporizer | FM4 Sound Selection Soundpark,fm4,2021-04-21 01:18:02.962289
5K HD - Happy Fxxxing Life | FM4 Morning Show,fm4,2021-04-19 05:42:02.007938
:aexattack - You Are Killing Me | FM4 Connected,fm4,2021-04-23 13:33:03.269321
:aexattack - You Are Killing Me | FM4 Sound Selection Fresh,fm4,2021-04-22 01:54:02.554218
:aexattack - You Are Killing Me | FM4 Soundpark,fm4,2021-04-19 00:42:01.899432
"A$AP Rocky ft. Moby - A$ap Forever | FM4 You're At Home, Baby!",fm4,2021-04-20 09:33:03.145277
A-Trak ft Jamie Lidell - We All Fall Down | FM4 Morning Show,fm4,2021-04-21 05:12:03.856673
A-ha - Take On Me,radiowien,2021-04-20 06:36:01.852605
A-ha - The Living Daylights,radiowien,2021-04-23 10:57:02.599632
A.G. Trio ft M. Zahradnicek - Countably Infinite,fm4,2021-04-23 02:36:02.551158
A.R. Rahman feat. Pussycat Dolls - Jai Ho! (You Are My Destiny),oe3,2021-04-23 06:21:01.652537
ACDC - For Those About to Rock (We Salute You),oe3,2021-04-18 18:45:01.094749
ACDC - T.N.T.,oe3,2021-04-22 10:21:01.669141
ANTENNE BAYERN - Alle aktuellen Hits,oe3,2021-04-20 15:33:01.353233
ATB feat. Topic & A7S - Your Love (9PM),oe3,2021-04-23 11:09:01.471161
"AVEC - My Wife, The Depression | FM4 Morning Show",fm4,2021-04-20 06:45:02.850364
"AVEC - My Wife, The Depression | FM4 Soundpark",fm4,2021-04-22 19:42:03.438069
AZE - Laundry Room | FM4 Soundpark,fm4,2021-04-22 18:36:02.142472
Aaron Neville - Can't Stop My Heart From Loving You (Rain Song),radiowien,2021-04-22 22:06:02.750896
Abba - Angel Eyes,radiowien,2021-04-18 10:36:02.549508
Abba - Chiquitita,radiowien,2021-04-18 17:51:02.341100
Abba - I Have A Dream,radiowien,2021-04-20 08:21:02.166716
"Abba - Knowing Me, Knowing You",radiowien,2021-04-23 09:39:04.058819
Abba - Lay All Your Love On Me,radiowien,2021-04-19 19:24:01.906340
Abba - S.O.S.,radiowien,2021-04-20 14:15:02.253695
Abba - Thank You For The Music,radiowien,2021-04-21 16:45:01.761579
Abba - The Winner Takes It All,radiowien,2021-04-22 20:54:02.354864
Abba - Waterloo,radiowien,2021-04-19 06:30:01.821049
Ace Of Base - All That She Wants,radiowien,2021-04-19 20:54:02.206133
Ace Of Base - Life Is A Flower,radiowien,2021-04-21 10:09:02.250942
Ace Of Base - The Sign,radiowien,2021-04-19 04:57:02.610555
AcePaul Carrack - How Long,radiowien,2021-04-22 04:24:02.057120
Adam Lambert - Whataya Want from Me,oe3,2021-04-23 11:18:01.921304
Adaolisa - Fineboy | FM4 Connected,fm4,2021-04-22 13:48:01.926691
Adaolisa - Fineboy | FM4 Hallo FM4,fm4,2021-04-18 11:39:03.850160
Adaolisa - Fineboy | FM4 Morning Show,fm4,2021-04-23 06:36:03.050402
Adaolisa - Fineboy | FM4 Sleepless,fm4,2021-04-22 00:45:02.851501
Adaolisa - Fineboy | FM4 Sound Selection Charts,fm4,2021-04-20 02:21:02.651298
Adaolisa - Fineboy | FM4 Soundpark,fm4,2021-04-18 23:18:01.799808
"Adaolisa - Fineboy | FM4 You're At Home, Baby!",fm4,2021-04-21 10:18:01.960245
Adel Tawil - Lieder,oe3,2021-04-20 08:54:01.052177
Adele - Hello,radiowien,2021-04-20 15:54:02.690349
Adele - Make You Feel My Love,radiowien,2021-04-23 00:42:02.656039
Adele - Rolling in the Deep,oe3,2021-04-19 06:51:01.597510
Adele - Send My Love,radiowien,2021-04-22 02:21:03.848589
Adele - Skyfall,radiowien,2021-04-21 04:45:01.556581
Adele - Someone Like You,radiowien,2021-04-19 11:33:02.753122
Adele - Someone like You,oe3,2021-04-21 07:51:04.041173
Adele - Water Under The Bridge,radiowien,2021-04-22 18:27:02.654760
Adriano Celentano - Il Ragazzo Della Via Gluck,radiowien,2021-04-22 19:42:02.937702
Adriano Celentano - Il Tempo Se Ne Va,radiowien,2021-04-20 18:00:02.351578
Adriano Celentano - Una Festa Sui Prati,radiowien,2021-04-21 23:00:01.962964
Aerosmith - Cryin',oe3,2021-04-20 16:48:01.553105
Aerosmith - I Don't Want To Miss A Thing,radiowien,2021-04-21 01:30:01.873357
Aesop Rock - Long Legged Larry | FM4 Connected,fm4,2021-04-22 14:39:02.651471
Aesop Rock - Long Legged Larry | FM4 Homebase,fm4,2021-04-20 17:06:02.557136
Aesop Rock - Long Legged Larry | FM4 Morning Show,fm4,2021-04-19 07:24:03.106915
"Aesop Rock - Long Legged Larry | FM4 You're At Home, Baby!",fm4,2021-04-21 08:57:02.551106
"Aether Kombo ft. Farce - Deja Vu | FM4 You're At Home, Baby!",fm4,2021-04-19 11:36:01.864007
Afroman - Because I Got High | FM4 Morning Show,fm4,2021-04-20 04:42:02.953448
Air - Don't Be Light | FM4 Hallo FM4,fm4,2021-04-18 14:00:02.055457
Air Supply - Even The Nights Are Better,radiowien,2021-04-18 23:48:01.602615
Air Supply - Every Woman In The World,radiowien,2021-04-23 13:48:02.550796
"Akua Naru ft. Dynasty, Sa-Roc - Boom Bap Back",fm4,2021-04-21 12:00:02.251562
Al Jarreau - Boogie Down,radiowien,2021-04-23 09:57:02.452019
Al Jarreau - Mornin',radiowien,2021-04-22 03:09:04.450448
Al Stewart - Year Of The Cat,radiowien,2021-04-19 10:57:02.898115
Alabama Shakes - Don't Wanna Fight | FM4 Morning Show,fm4,2021-04-20 06:36:02.157667
Alan O'Day - Undercover Angel,radiowien,2021-04-23 02:24:01.763948
Alan Parsons Project - Don't Answer Me,radiowien,2021-04-21 00:33:01.561511
Alan Parsons Project - Eye In The Sky,radiowien,2021-04-18 10:06:01.860206
Alan Parsons Project - Games People Play,radiowien,2021-04-21 08:18:02.123817
Alan Parsons Project - The Turn Of A Friendly Card (Part 1),radiowien,2021-04-19 21:57:01.860784
Alan Sorrenti - Tu Sei L'unica Donna Per Me,radiowien,2021-04-20 01:51:02.750848
Alan Walker - Alone,oe3,2021-04-19 09:24:00.950407
Alan Walker - Faded,oe3,2021-04-21 18:57:00.905377
Alanis Morissette - Crazy,radiowien,2021-04-23 13:42:02.365648
Alanis Morissette - Ironic,oe3,2021-04-23 09:36:01.153499
Alanis Morissette - You Learn,oe3,2021-04-18 19:42:01.411599
Alanis Morissette - You Oughta Know,oe3,2021-04-19 16:42:01.208574
Alannah Myles - Black Velvet,radiowien,2021-04-19 13:06:03.251826
Aldous Harding - Revival | FM4 Heartbeat,fm4,2021-04-19 20:15:01.904108
"Alex Ebert - Stronger | FM4 You're At Home, Baby!",fm4,2021-04-23 10:21:03.956046
Alex Max Band - Tonight,oe3,2021-04-21 15:21:03.649818
Alfa Mist - Organic Rust | FM4 Fivas Ponyhof,fm4,2021-04-18 16:57:03.057689
Alfie Templeman - Everybody's Gonna Love Somebody,fm4,2021-04-22 08:06:03.238153
Alfie Templeman - Happiness In Liquid Form | FM4 Sleepless,fm4,2021-04-20 00:48:02.454629
Alice Cooper - Poison,oe3,2021-04-21 14:39:01.422924
Alicia Bridges - I Love The Nightlife,radiowien,2021-04-22 20:30:02.249928
Alicia Edelweiss - Leonie | FM4 Connected,fm4,2021-04-19 15:54:02.563098
Alicia Edelweiss - Leonie | FM4 Sound Selection Soundpark,fm4,2021-04-21 02:06:02.057809
Alicia Keys - Underdog,oe3,2021-04-22 15:24:01.332048
Alison Moyet - All Cried Out,radiowien,2021-04-20 01:54:02.163674
Alison Moyet - Invisible,radiowien,2021-04-22 14:39:02.151814
Alison Moyet - Is This Love?,radiowien,2021-04-18 16:45:02.363529
"Alix - All In | FM4 You're At Home, Baby!",fm4,2021-04-19 10:33:02.629925
Alizee - Moi...Lolita,radiowien,2021-04-22 18:45:02.353059
Alle Achtung - Marie,oe3,2021-04-20 19:42:01.658097
Alle Achtung - Sono il Destino,oe3,2021-04-23 00:12:01.637709
Alle Farben & Ilira - Fading,oe3,2021-04-23 11:42:01.915869
Alle Farben - Bad Ideas,oe3,2021-04-22 17:09:01.885984
Alle Farben feat. Jordan Powers - Different for Us,oe3,2021-04-22 10:18:01.636105
Allen Alexis - Dance Into The Morning,fm4,2021-04-21 02:45:02.243611
Allen Alexis - Unbelievable | FM4 Morning Show,fm4,2021-04-22 07:57:03.463024
Allo Darling - Capricornia | FM4 Sleepless,fm4,2021-04-23 03:06:02.456511
Aloe Blacc - I Need A Dollar,radiowien,2021-04-21 14:12:02.029634
Aloe Blacc - Wake Me Up (Acoustic),radiowien,2021-04-20 08:33:02.053502
Alphaville - Forever Young,radiowien,2021-04-18 22:12:01.915838
Alvaro Soler - El Mismo Sol,radiowien,2021-04-19 21:36:04.373431
Alvaro Soler - El mismo sol,oe3,2021-04-23 08:15:00.952287
Alvaro Soler - La Libertad,radiowien,2021-04-19 12:30:01.357992
Alvaro Soler - La cintura,oe3,2021-04-23 13:36:01.051939
Alvaro Soler - Magia,oe3,2021-04-23 11:45:01.153072
Alvaro Soler - Sofia,radiowien,2021-04-22 23:21:02.110786
"Alyona Alyona & Olexesh - Shalom | FM4 You're At Home, Baby!",fm4,2021-04-21 08:15:02.519860
Alyona Alyona - Bro (feat. Noga Erez) | FM4 Connected,fm4,2021-04-21 13:21:02.950705
Alyona Alyona - Pappi Pappi (feat. Yoss Bones) | FM4 Homebase,fm4,2021-04-21 17:27:02.153971
Alyona Alyona ist Riesenfan von Noga Erez,fm4,2021-04-21 13:18:02.659308
Amadeus: Top-5-Band  Hearts Hearts sind zu Gast,fm4,2021-04-22 14:15:03.108460
Amanda Marshall - Believe In You,radiowien,2021-04-22 11:39:02.052461
Amanda Tenfjord - No Thanks | FM4 Morning Show,fm4,2021-04-23 07:57:02.456217
Amen Mustang - (The Shit You Say) When You're High,fm4,2021-04-20 15:57:02.188933
America - Sister Golden Hair,radiowien,2021-04-19 12:12:03.751891
America - The Border,radiowien,2021-04-21 08:45:02.551737
American Authors - Best Day Of My Life,radiowien,2021-04-22 14:33:02.263663
Amii Stewart - Knock On Wood,radiowien,2021-04-21 12:42:01.957626
Amy Grant - Baby Baby,radiowien,2021-04-18 23:45:02.095720
Amy Grant - Every Heartbeat,radiowien,2021-04-21 14:30:01.630669
Amy Grant - It's Too Late,radiowien,2021-04-22 02:18:01.862976
Amy MacDonald - This Is The Life,radiowien,2021-04-20 19:48:02.452974
Amy MacDonald - This Is the Life,oe3,2021-04-19 04:27:02.095020
Amy Macdonald - Slow It Down,oe3,2021-04-19 20:12:00.877447
Amy Wald - Freaks,oe3,2021-04-19 02:27:01.750329
Amy Winehouse - Back To Black,radiowien,2021-04-22 09:42:03.253842
Amy Winehouse - Back to Black,oe3,2021-04-19 18:39:01.059965
Amy Winehouse - Our Day Will Come,radiowien,2021-04-19 05:45:02.010391
Amy Winehouse - Wake Up Alone,radiowien,2021-04-19 22:36:01.762963
Amy Winehouse - You Know I'm No Good,radiowien,2021-04-21 15:12:02.453911
Ana Tijoux - 1977 | FM4 Connected,fm4,2021-04-20 16:51:02.563048
Anastacia - Absolutely Positively,radiowien,2021-04-21 21:45:02.055073
Anastacia - I'm Outta Love,radiowien,2021-04-23 00:48:01.852020
Anastacia - Left Outside Alone,radiowien,2021-04-22 20:15:02.451067
Anastacia - Paid My Dues,radiowien,2021-04-23 05:48:02.558317
Anbuley - Oleee | FM4 Connected,fm4,2021-04-21 16:21:02.954520
Andi hatte trÃ¤umte von Rechnungswese,fm4,2021-04-23 07:12:02.714503
Andie Gabauer - Levitation,radiowien,2021-04-18 13:54:02.337996
Andre Heller - Wie mei Herzschlag,radiowien,2021-04-21 19:18:02.451609
Andreas Bourani - Auf uns,oe3,2021-04-23 08:42:02.013001
Andy Baum & The Trix - Don't Make A Fool,radiowien,2021-04-22 09:12:02.257993
Andy Baum & The Trix - Only A Whisper,radiowien,2021-04-22 16:15:02.144055
Andy Baum & The Trix - Slow Down,radiowien,2021-04-18 20:39:02.242810
Andy Baum & The Trix - Still Remember Yvonne,radiowien,2021-04-19 12:18:02.054450
Andy Baum - Slow Down,oe3,2021-04-20 19:39:01.618457
Andy Baum - Still Remember Yvonne,oe3,2021-04-22 19:54:04.076593
Ane Brun - Directions (Torn rx) | FM4 Connected,fm4,2021-04-19 15:09:02.361027
Anger - Miami | FM4 Morning Show,fm4,2021-04-22 04:45:02.267764
"Anger - Miami | FM4 You're At Home, Baby!",fm4,2021-04-23 10:42:02.350698
Anita Baker - Sweet Love,oe3,2021-04-19 21:54:00.850349
"Ankathie Koi - Cats And Diamonds | FM4 You're At Home, Baby!",fm4,2021-04-22 09:06:02.551778
Anna F. - Most Of All,radiowien,2021-04-20 17:39:02.750984
Anna F. - Too Far,radiowien,2021-04-22 08:51:02.353634
"Anna Kendrick - Cups (Pitch Perfect's ""When I'm gone"")",radiowien,2021-04-21 06:12:02.770223
Anna Naklab feat. Alle Farben & Younotus - Supergirl,oe3,2021-04-21 14:09:01.962618
Anna Oxa - Storie,radiowien,2021-04-21 02:57:01.439787
Anna of the North - Fire | FM4 Morning Show,fm4,2021-04-23 07:30:02.500608
Anna of the North - Leaning On Myself,fm4,2021-04-19 10:54:02.400483
"Anna von ""Friedberg"" erzählt über ihr Songwriting",fm4,2021-04-18 14:12:02.748642
"Anna von Friedberg wÃ¼nscht sich Mattiel mit ""Count Your Bles ...",fm4,2021-04-18 14:21:02.905855
Anna von Friedberg wÃ¼rde gerne einmal mit Porridge Radio spielen,fm4,2021-04-18 14:39:02.441457
Anna-Sophie - Bad Habits,oe3,2021-04-18 21:57:01.195640
Anna-Sophie - Down,oe3,2021-04-23 12:39:01.738702
Anna-Sophie - Let Me In,oe3,2021-04-22 23:27:01.651431
Anne-Marie - 2002,oe3,2021-04-18 13:57:01.787906
AnneMarie HoellerMario Berger - Novo Dia,radiowien,2021-04-21 22:18:02.157823
AnnenMayKantereit - 21 22 23 | FM4 Sound Selection Classic,fm4,2021-04-23 01:45:02.356277
"Annie Lennox - No More ""I Love You's""",radiowien,2021-04-22 15:33:02.656960
Annie Lennox - Walking On Broken Glass,radiowien,2021-04-21 09:24:02.439641
Annie LennoxAl Green - Put A Little Love In Your Heart,radiowien,2021-04-22 05:36:01.938093
Ant Antic - Vacate | FM4 Sound Selection Classic,fm4,2021-04-23 02:21:03.150419
Anthea - XEA | FM4 Connected,fm4,2021-04-20 13:51:02.962370
Anthea - XEA | FM4 Homebase,fm4,2021-04-19 19:39:03.062780
Anthea - XEA | FM4 Morning Show,fm4,2021-04-23 06:42:02.856644
Anthea - XEA | FM4 Sleepless,fm4,2021-04-20 23:39:03.251674
Anthea - XEA | FM4 Sound Selection Charts,fm4,2021-04-20 01:24:02.657728
Anthea - XEA | FM4 Soundpark,fm4,2021-04-22 18:39:01.946356
"Anthea - XEA | FM4 You're At Home, Baby!",fm4,2021-04-21 10:33:02.752437
Antonello Venditti - Buona Domenica,radiowien,2021-04-20 11:57:03.253851
Antonello Venditti - In Questo Mondo Di Ladri,radiowien,2021-04-23 02:33:02.650210
Antrue - Amelie | FM4 Sleepless,fm4,2021-04-19 23:45:02.554141
Aphrodelics - Rollin' On Chrome | FM4 Connected,fm4,2021-04-21 16:30:02.259248
Arcade Fire - Chemistry | FM4 Morning Show,fm4,2021-04-21 04:42:01.750547
"Arcade Fire - Intervention | FM4 You're At Home, Baby!",fm4,2021-04-22 11:15:02.554316
Arcade Fire - Keep The Car Running | FM4 Auf Laut,fm4,2021-04-20 19:24:02.851363
"Arctic Monkeys - Snap Out Of It | FM4 You're At Home, Baby!",fm4,2021-04-23 10:09:02.957582
Aretha Franklin - Respect,radiowien,2021-04-19 01:39:01.512517
Aretha Franklin - Think,radiowien,2021-04-19 13:15:02.358214
Aricia Mess - Há Quem Chame | FM4 Connected,fm4,2021-04-19 13:36:02.537006
Aricia Mess - Há Quem Chame | FM4 Homebase,fm4,2021-04-21 19:24:03.050691
Aricia Mess - Há Quem Chame | FM4 Sleepless,fm4,2021-04-22 23:06:02.220568
Arlo Guthrie - City Of New Orleans,radiowien,2021-04-21 22:15:02.051583
Arlo Parks - Black Dog | FM4 Soundpark,fm4,2021-04-22 18:18:03.442367
Arlo Parks - Hurt | FM4 Hallo FM4,fm4,2021-04-18 11:57:02.841611
Aron Matthews feat. MÃ´ntan - Over Again,oe3,2021-04-22 21:00:01.920079
Arthur Baker & Backbeat - The Message Is Love,radiowien,2021-04-19 07:27:01.738158
Ashley Slater - Private Sunshine | FM4 Sleepless,fm4,2021-04-20 00:24:02.050352
Ashnikko Feat. Kelis - Deal With It | FM4 Connected,fm4,2021-04-19 15:06:02.859610
Asia - Heat Of The Moment,radiowien,2021-04-22 05:57:02.043097
At Pavillon - All Eyes On You | FM4 Soundpark,fm4,2021-04-22 17:30:02.476282
"At Pavillon - Joy | FM4 You're At Home, Baby!",fm4,2021-04-20 10:12:02.450159
At Pavillon - Stop This War | FM4 Sleepless,fm4,2021-04-21 03:57:02.398547
Attwenger - Vagismi | FM4 Homebase,fm4,2021-04-19 18:48:02.651814
Attwenger - Vagismi | FM4 Morning Show,fm4,2021-04-19 06:18:03.116767
Attwenger - Vagismi | FM4 Sleepless,fm4,2021-04-22 03:15:02.906935
"Attwenger - Vagismi | FM4 You're At Home, Baby!",fm4,2021-04-21 08:36:02.751894
Auf Togo Meets Becker & Mukai ft. Anita Cualega - Aeroplane,fm4,2021-04-20 08:57:03.942982
Aura Dione - I Will Love You Monday (365),oe3,2021-04-21 13:39:03.946478
Ausmisten: Wohin mit den Alten Sachen? Online-Secondhandshops,radiowien,2021-04-20 05:15:01.661814
Ausseer Hardbradler - Hoamweh nach B.A.,oe3,2021-04-19 18:54:01.616717
Austria 3 - Manchmal denk i no an di (Live),oe3,2021-04-22 13:39:01.651016
Austria 3 - VÃ¼ schÃ¶ner is des G'fÃ¼hl (Live),oe3,2021-04-20 14:15:01.353325
Austrofred - Eich Dodln Gib I Gas | FM4 Connected,fm4,2021-04-21 13:45:02.855645
Ava Max - Kings & Queens,oe3,2021-04-23 05:45:01.557154
Ava Max - My Head & My Heart,oe3,2021-04-23 02:06:01.334995
Ava Max - Sweet but Psycho,oe3,2021-04-18 15:36:00.993833
Ava Max - Torn,oe3,2021-04-21 15:24:01.208221
Ava Max - Who's Laughing Now,oe3,2021-04-20 22:51:01.054113
Avec - Granny,radiowien,2021-04-21 13:18:02.262163
Avec - Home,oe3,2021-04-21 19:42:01.312981
Avec - I Don't Pray,oe3,2021-04-22 20:21:01.253348
Avec - I'll Come Back,oe3,2021-04-22 00:12:01.073091
Avec - Under Water (Club Edit),oe3,2021-04-21 13:27:01.709481
Avicii - Addicted to You,oe3,2021-04-22 09:57:01.223076
Avicii - Hey Brother,oe3,2021-04-19 00:15:01.397249
Avicii - Levels,oe3,2021-04-21 01:39:01.532753
Avicii - The Nights,oe3,2021-04-23 04:48:01.738001
Avicii - Waiting for Love,oe3,2021-04-23 12:12:00.927542
Avicii feat. Sandro Cavazza - Without You,oe3,2021-04-20 23:12:02.006126
Avril Lavigne  Chad Kroeger - Let Me Go,oe3,2021-04-22 03:54:01.665115
Avril Lavigne - Complicated,oe3,2021-04-20 16:57:00.982182
Avril Lavigne - Head Above Water,oe3,2021-04-21 08:27:04.403102
Avril Lavigne - I'm with You,oe3,2021-04-20 23:54:01.052410
Axel Wolph - VorÃ¼ber gehen,oe3,2021-04-23 10:36:02.230423
Axel Wolph - Vorüber gehen,oe3,2021-04-22 20:27:01.860510
Axwell & Ingrosso - More Than You Know,oe3,2021-04-21 04:12:01.799192
Aze - Call Me Back | FM4 Connected,fm4,2021-04-21 15:39:02.667248
Aze - Call Me Back | FM4 Sunny Side Up,fm4,2021-04-18 09:48:02.341254
B*Witched - Blame It On The Weatherman,radiowien,2021-04-22 12:12:02.256778
B*Witched - C'est La Vie,radiowien,2021-04-23 02:48:02.550191
B-OK feat. Michela - Say It First,oe3,2021-04-21 22:24:01.697721
B.B. Cole - She Gave Me Feathers,radiowien,2021-04-18 19:15:02.550095
B.J. Thomas - Raindrops Keep Falling On My Head,radiowien,2021-04-20 22:12:02.068951
BAITS - Coming After Me | FM4 Soundpark,fm4,2021-04-22 18:54:02.523285
"BAITS - Liberate You | FM4 You're At Home, Baby!",fm4,2021-04-21 11:27:02.767197
BEST OF ANKARALI - Fadimem [1Nw],radiowien,2021-04-18 09:21:02.343734
BLOWSOM - Breathin | FM4 Fivas Ponyhof,fm4,2021-04-18 16:54:04.641964
BTS - Dynamite,radiowien,2021-04-22 03:24:02.054702
Baauer ft. AJ Tracy Jae Stephens - 3 A.M. | FM4 Connected,fm4,2021-04-22 13:12:02.357844
Baby Queen - Raw Thoughts | FM4 Connected,fm4,2021-04-22 15:27:03.066819
Baby Queen - Raw Thoughts | FM4 Sleepless,fm4,2021-04-23 03:36:03.050189
Backstreet Boys - Anywhere For You,radiowien,2021-04-21 08:54:01.773579
Backstreet Boys - As Long As You Love Me,radiowien,2021-04-23 05:18:01.848121
Backstreet Boys - Chances,radiowien,2021-04-19 06:27:01.419455
Backstreet Boys - I'll Never Break Your Heart,radiowien,2021-04-21 22:24:02.650108
