,name,station,date,artist,song,uri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,loudness,index,spotify_artist,spotify_song,scraped_artist,scraped_song
2677,Bruno Mars - Count On Me,radiowien,2021-04-21 20:45:02.456784,Bruno Mars , Count On Me,spotify:track:7l1qvxWjxcKpB9PCtBuTbU,0.84,0.577,0.397,0.0,0.0772,0.028,89.044,0.509,-5.98,1391,Bruno Mars,Count on Me,,
2678,Bruno Mars - Count On Me,radiowien,2021-05-01 21:51:02.650639,Bruno Mars , Count On Me,spotify:track:7l1qvxWjxcKpB9PCtBuTbU,0.84,0.577,0.397,0.0,0.0772,0.028,89.044,0.509,-5.98,1391,Bruno Mars,Count on Me,,
2679,Bruno Mars - Count On Me,radiowien,2021-05-01 21:51:02.650639,Bruno Mars , Count On Me,spotify:track:7l1qvxWjxcKpB9PCtBuTbU,0.84,0.577,0.397,0.0,0.0772,0.028,89.044,0.509,-5.98,1391,Bruno Mars,Count on Me,,
2680,Bruno Mars - Just the Way You Are,oe3,2021-04-22 17:33:02.228918,Bruno Mars , Just the Way You Are,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,0.0151,0.637,0.843,0.0,0.0876,0.0432,109.012,0.434,-5.413,1394,Bruno Mars,Just the Way You Are,,
2681,Bruno Mars - Just the Way You Are,oe3,2021-04-25 10:42:01.031249,Bruno Mars , Just the Way You Are,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,0.0151,0.637,0.843,0.0,0.0876,0.0432,109.012,0.434,-5.413,1394,Bruno Mars,Just the Way You Are,,
2682,Bruno Mars - Just the Way You Are,oe3,2021-04-25 10:42:01.031249,Bruno Mars , Just the Way You Are,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,0.0151,0.637,0.843,0.0,0.0876,0.0432,109.012,0.434,-5.413,1394,Bruno Mars,Just the Way You Are,,
2683,Bruno Mars - Locked out of Heaven,oe3,2021-04-20 01:21:01.626811,Bruno Mars , Locked out of Heaven,spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,0.698,0.0,0.309,0.0431,143.994,0.867,-4.165,1395,Bruno Mars,Locked out of Heaven,,
2684,Bruno Mars - Locked out of Heaven,oe3,2021-05-02 00:18:00.819656,Bruno Mars , Locked out of Heaven,spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,0.698,0.0,0.309,0.0431,143.994,0.867,-4.165,1395,Bruno Mars,Locked out of Heaven,,
2685,Bruno Mars - Locked out of Heaven,oe3,2021-05-02 00:18:00.819656,Bruno Mars , Locked out of Heaven,spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,0.698,0.0,0.309,0.0431,143.994,0.867,-4.165,1395,Bruno Mars,Locked out of Heaven,,
2686,Bruno Mars - Marry You,radiowien,2021-04-21 09:33:02.111536,Bruno Mars , Marry You,spotify:track:22PMfvdz35fFKYnJyMn077,0.332,0.62,0.832,0.0,0.104,0.036,144.926,0.481,-4.848,1396,Bruno Mars,Marry You,,
